Oklahoma Native Plant Record	2379-4011
????????? ????????? ????	2476-4248
??????	1029-7863
Türk Yo?un Bak?m Dergisi	2602-2974
Momentdergi	2148-970X
Journal of the Turkish Chemical Society Section C Chemical Education	2459-1734
Medicine Science	2147-0634
Iteckne	1692-1798
EJNMMI Radiopharmacy and Chemistry	2365-421X
Journal of Obesity & Metabolic Syndrome	2508-7576
European Radiology Experimental	2509-9280
International Neurourology Journal	2093-6931
Clinics in Orthopedic Surgery	2005-4408
Journal of Applied Science & Process Engineering	2289-7771
Journal of Advanced Manufacturing Technology	1985-3157
NCTU Law Review	2523-0298
Journal of Aviation Technology and Engineering	2159-6670
Food Quality and Safety	2399-1402
AIMS Allergy and Immunology	2575-615X
Edukasi: Jurnal Pendidikan dan Pengajaran	2355-3669
Revista Videre	2177-7837
Revista Eletrônica História em Reflexão	1981-2434
Conexão Ciência	1980-7058
Revista Colombiana de Biotecnología	0123-3475
Atlánticas	2530-2736
Aisthesis	0568-3939
Clinical Endoscopy	2234-2443
International Journal of Research in Science	2412-4389
Journal of Islamic Studies	1658-6301
Research in English Language Pedagogy	2588-3259
Asian Pacific Journal of Cancer Care	2588-3682
Journal of Soft Computing in Civil Engineering	2588-2872
Madaniyah: Terciptanya Insan Akademis Berkualitas & Berakhlak Mulia	2086-3462
Majalah Obat Tradisional	1410-5918
Geographica Pannonica	0354-8724
Peristil	0553-6707
Cactus	2247-3297
Turk Dermatoloji Dergisi	1307-7635
Ya?am Becerileri Psikoloji Dergisi	2587-1536
Journal of Pedagogical Research	2602-3717
Dil E?itimi ve Ara?t?rmalar? Dergisi	2149-5602
Türkiye Tar?msal Ara?t?rmalar Dergisi	2148-2306
Pixo	2526-7310
Anamorphosis	2446-8088
JMSNI (Journal of Maritime Studies and National Integration)	2579-9215
Monções	2316-8323
Turkish Journal of Kinesiology	2459-0134
Uluslararasi Avrasya Sosyal Bi?li?mler Dergi?si	2146-1961
Karadeniz Fen Bilimleri Dergisi	1309-4726
Turkish Journal of Obstetrics and Gynecology	2149-9322
Veritas et Justitia	2460-4488
Eikon: Revista de Semiótica e Cultura Visual	2183-6426
?lahiyat Tetkikleri Dergisi	2458-7508
International e-Journal of Educational Studies	2602-4241
Research In: Agricultural & Veterinary Sciences	2520-6737
Journal of Modern Technology and Engineering	2519-4836
Advanced Mathematical Models & Applications	2519-4445
TMR Integrative Nursing	2522-6371
Integrative Medicine	2521-3415
Journal of the Meteorological Society of Japan	0026-1165
Chuban Kexue	1009-5853
Journal of Educational Sciences & Psychology	2247-8558
Zhongxiyi Jiehe Huli (Zhong-Yingwen Ban)	2096-0867
International Journal for the Scholarship of Teaching and Learning	1931-4744
Psihologia Resurselor Umane	2392-8077
Zeitschrift für Sprachwissenschaft	1613-3706
Warasan Witthayasat Lae Theknoloyi Mahawitthayalai Mahasarakham	1686-9664
Asian International Journal of Social Sciences	2539-6102
ECTI Transactions on Computer and Information Technology	2286-9131
Clinical and Experimental Otorhinolaryngology	2005-0720
Sleep Medicine Research	2233-8853
Iranian Journal of Oil & Gas Science and Technology	2345-2420
Journal CleanWAS	2521-0513
Malaysian Journal of Public Health Medicine	1675-0306
Chronicles of Health Impact Assessment	2475-5885
Building Healthy Academic Communities Journal	2573-7643
Revista de Estudios Marítimos y Sociales	1852-0669
Argumentos	2525-0469
Journal of Innovation for Inclusive Development	2456-4478
Ledger	2379-5980
Michigan Family Review	1558-7258
Sanat Tarihi Dergisi	1300-5707
Alphanumeric Journal	2148-2225
????????? ???? ?????? ? ??????	2251-7642
Iranian Journal of Astronomy and Astrophysics	2322-4924
Current Health Sciences Journal	2069-4032
Jurnal Akuntansi dan Auditing	1412-6699
Pražské Egyptologické Studie	1214-3189
Revista Contemporânea de Educação	1809-5747
Revista Educação em Debate	0102-1117
Contemporary Agriculture	2466-4774
Folia Veterinaria	2453-7837
Meno Istorija ir Kritika	1822-4547
Open Cultural Studies	2451-3474
Open Astronomy	2543-6376
European Medical Journal Hematology	2053-6631
Jurnal Matematika Integratif	2549-9033
Jurnal Pendidikan Ilmu Sosial	2540-7694
JNCI Cancer Spectrum	2515-5091
?aza?stanny? Klinikaly? Medicinasy	2313-1519
Cuadernos de Historia Moderna	0214-4018
????????????? ???????	2414-0023
Mechanics and Advanced Technologies	2521-1943
Regeneration, Reconstruction & Restoration	2476-5163
Ara?t?rma Temelli Etkinlik Dergisi	2146-5711
Jurnal Kompetensi Teknik	2086-2253
Jurnal Inspirasi Pendidikan	2088-9704
Environmental Health and Preventive Medicine	1347-4715
Journal of Injury and Violence Research	2008-2053
Studia Quranika: Jurnal Studi Quran	2527-7251
Književni Jezik	0350-3496
Raído	1984-4018
Signos do Consumo	1984-5057
Revista del CISEN	2344-9594
REVISA	2316-848X
Doxa	1413-2060
Revista Mediação	1980-556X
Revista de Engenharia Civil IMED	2358-6508
Argumentum	2176-9575
Revista de Ciências Sociais	0041-8862
Revista Ñanduty	2317-8590
EaD & Tecnologias Digitais na Educação	2318-4051
???????????	1820-4244
Clinical Trials in Degenerative Diseases	2542-3983
Mathematica Moravica	1450-5932
Revista Arqueologia Pública	2237-8294
Revista de Estudios sobre Genocidio	1851-8184
Inovacije u Nastavi	0352-2334
Quarterly Horse	2470-6191
Journal of Physics Communications	2399-6528
Prizren Social Science Journal	2616-387X
Jurnal Pendidikan Bahasa dan Sastra Indonesia	2355-6633
Proceedings of Science	1824-8039
Ranah: Jurnal Kajian Bahasa	2338-8528
Agrarian	1984-2538
RealizAção	2358-3401
ArReDia	2316-6169
Therapeutic Advances in Respiratory Disease	1753-4666
Therapeutic Advances in Gastroenterology	1756-2848
Economics, Management and Sustainability	2520-6303
Montenegrin Journal of Economics	1800-5845
Revista de Educación de la Universidad de Granada	0214-0489
La Manzana de la Discordia	1900-7922
Revista Chapingo Serie Horticultura	1027-152X
Estudios Artísticos	2500-6975
Haidé	2014-3818
Siglo XXI, Literatura y Cultura Españolas	2172-7457
Los Libros de la Corte.es	1989-6425
Portuguese Journal of Public Health	2504-3145
Revista Vasca de Gestión de Personas y Organizaciones Públicas	2173-6405
Bihd?sht-i K?r va Irtiq?-yi Sal?mat	2588-2643
??? ?????????	2476-5023
Jema: Jurnal Ilmiah Bidang Akuntansi dan Manajemen	1693-7864
Medicine Access @ Point of Care	2399-2026
Folia Onomastica Croatica	1330-0695
Varela	1810-3413
Correspondencias & Análisis	2224-235X
Práctica Familiar Rural	2477-9164
Journal of Patient-Reported Outcomes	2509-8020
Precision Radiation Oncology	2398-7324
Revista Român? de Biblioteconomie ?i ?tiin?a Inform?rii	1841-1940
Istorija 20. Veka	0352-3160
Revista Alergia México	0002-5151
Cuadernos de Arte de la Universidad de Granada	0210-962X
Revista Teknokultura	1549-2230
Othody i Resursy	2500-0659
Acta Universitatis Matthiae Belii: Séria Environmentálne Manažérstvo	1338-449X
Terrae Didatica	1980-4407
Journal of Business Anthropology	2245-4217
BizInfo	2217-2769
World Nutrition Journal	2580-7013
?nsan&?nsan Bilim Kültür Sanat ve Dü?ünce Dergisi	2148-7537
PROA: Revista de Antropologia e Arte	2175-6015
Journal of Historical Network Research	2535-8863
The Southern African Journal of Entrepreneurship and Small Business Management	2522-7343
The School of Public Policy Publications	2560-8312
Revista @mbienteeducação	1982-8632
RChD: Creación y Pensamiento	0719-8426
Investigación & Desarrollo	1814-6333
Sudan Journal of Medical Sciences	1858-5051
Aldea Mundo	1316-6727
Udayana Journal of Law and Culture	2549-0680
Foucault Studies	1832-5203
Psikiyatri Hem?ireli?i Dergisi	1309-3568
Optimum Ekonomi ve Yönetim Bilimleri Dergisi	2148-4228
Advances in the Theory of Nonlinear Analysis and its Applications	2587-2648
Flora Infeksiyon Hastal?klar? ve Klinik Mikrobiyoloji Dergisi	1300-932X
Uluslararas? Iktisadi ve Idari Incelemeler Dergisi	1307-9859
Performance	1829-6467
npj Digital Medicine	2398-6352
Sriwijaya International Journal of Dynamic Economics and Business	2581-2904
Revista Brasileira de Pesquisa em Educação em Ciências	1984-2686
Jurnal Elektronika dan Telekomunikasi	2527-9955
Revista Brasileira de História da Mídia	2238-3913
Sukkur IBA Journal of Computing and Mathematical Sciences	2522-3003
European Medical Journal Cardiology	2054-3174
European Medical Journal Reproductive Health	2059-450X
Journal of Evidence-Based Integrative Medicine	2515-690X
Journal of Kermanshah University of Medical Sciences	2588-2562
English Community Journal	2549-9009
Learning & Teaching in Higher Education: Gulf Perspectives	2077-5504
Recueil de Mécanique	2507-7589
Pedagogika	1392-0340
Feminist Encounters: A Journal of Critical Studies in Culture and Politics	2542-4920
Kronos	0259-0190
Majallah-i B?l?n?-i Parast?r? va M?m?y?	2322-4703
Journal of Tropical Biodiversity and Biotechnology	2540-9573
Iranian Journal of Electrical and Electronic Engineering	1735-2827
Australian Journal of Clinical Education	2207-4791
Iraqi Journal of Public Health	2521-7267
Temas y Debates	1666-0714
Australian Journal of Islamic Studies	2207-4414
ICCT Research Papers	2468-0664
Anales de Antropología	0185-1225
PSU Research Review	2399-1747
Stomatology Edu Journal	2360-2406
Jurnal Bidang Pendidikan Dasar	2549-0117
At-Taradhi: Jurnal Studi Ekonomi	1979-3804
Jurnal Ilmiah Pendidikan dan Pembelajaran	1858-4543
Vestnik Rossijskogo Universiteta Družby Narodov: Seriâ Istoriâ Rossii	2312-8674
The Spirit of Society Journal: International Journal of Society Development and Engagement	2597-4742
International Journal of Science and Applied Science: Conference Series	2549-4627
AIMS Cell and Tissue Engineering	2574-0105
Fundamental and Applied Agriculture	2415-4474
Al-Mustansiriyah Journal of Science	2521-3520
Journal of Studies in Learning and Teaching English	2251-8541
Hyperrhiz	1555-9351
Journal of Water Reuse and Desalination	2408-9370
Ma?alla? al-ab??? al-handasiyya?	2307-1877
Studies of Architecture, Urbanism and Environmental Science	2588-3658
Jurnal Manajemen Indonesia	2502-3713
Anil Islam: Jurnal Kebudayaan dan Ilmu Keislaman	2528-7532
Jurnal Aplikasi Teknologi Pangan	2460-5921
Tzu-Chi Medical Journal	2223-8956
EntreLetras	2179-3948
Ecosistemas y Recursos Agropecuarios	2007-9028
Linguistika	0854-9613
Jurnal Tarbiyatuna	2086-0889
California Italian Studies	2155-7926
International Journal of Crowd Science	2398-7294
V?snik Naukovih Dosl?džen'	1681-276X
Islamic Economics Journal	2460-1896
Therapeutic Advances in Medical Oncology	1758-8359
Economía y Desarrollo	0252-8584
Revista Sem Aspas	2238-359X
Therapeutic Advances in Neurological Disorders	1756-2864
Tidsskrift for Professionsstudier	2446-0273
International Journal of Critical Pedagogy	2157-1074
Collected Essays on Learning and Teaching	2368-4526
Revista de Arqueologia	0102-0420
Arktika: Èkologiâ i Èkonomika	2223-4594
Interdisciplinaria	0325-8203
Infectio	0123-9392
Horyzonty Wychowania	1643-9171
Archiwa - Kancelarie - Zbiory	1895-9075
Mezinárodní Vztahy	0323-1844
Drones	2504-446X
Pacific Geographies	2196-1468
Mechanics, Materials Science & Engineering	2412-5954
Spool	2215-0897
Canadian Journal of Bioethics	2561-4665
Sustainable Buildings	2492-6035
Buletin Fisika	1411-4690
Philosophy, Theory, and Practice in Biology	2475-3025
International Journal of Advanced Studies	2328-1391
Procedia of Economics and Business Administration	2392-8166
Biogeographia	2475-5257
npj Climate and Atmospheric Science	2397-3722
Journal of Transport and Land Use	1938-7849
Jurnal Aisyah: Jurnal Ilmu Kesehatan	2502-4825
Journal of Marine Medical Society	2589-1235
Journal of Positive Psychology and Wellbeing	2587-0130
Le Foucaldien	2515-2076
Kartika: Jurnal Ilmiah Farmasi	2354-6565
Fruit Growing Research	2286-0304
Tahiti	2242-0665
Scandinavian Journal of Disability Research	1745-3011
International Journal of Nanomedicine	1178-2013
IJISCS (International Journal of Information System and Computer Science)	2598-0793
Lentera Pendidikan: Jurnal Ilmu Tarbiyah dan Keguruan	1979-3472
IJEBD (International Journal of Entrepreneurship and Business Development)	2597-4750
Psympathic: Jurnal Ilmiah Psikologi	2502-2903
Eduma: Mathematics Education Learning and Teaching	2086-3918
Vok@Sindo: Jurnal Ilmu-Ilmu Terapan dan Hasil Karya Nyata	2338-5103
Jurnal Eksistensi Pendidikan Luar Sekolah	2541-1462
UCEJ (Untirta Civic Education Journal)	2541-6693
Keguru: Jurnal Ilmu Pendidikan Dasar	2579-9886
Sistemasi: Jurnal Sistem Informasi	2302-8149
Jurnal Teknologi Perikanan dan Kelautan	2087-4871
JRAMB (Jurnal Riset Akuntansi Mercubuana)	2460-1233
Orbith: Majalah Ilmiah Pengembangan Rekayasa dan Sosial	1858-2095
Wahana Teknik Sipil: Jurnal Pengembangan Teknik Sipil	0853-8727
Geoadria	1331-2294
Armenian Journal of Mathematics	1829-1163
Environmental Science and Sustainable Development	2357-0849
Izvestiâ Ural?skogo Gosudarstvennogo Gornogo Universiteta	2307-2091
Educ@ción en Contexto	2477-9296
Ola Financiera	1870-1442
Revista LABVERDE	2179-2275
Psihologo-Pedagogi?eskie Issledovaniâ	2587-6139
Indonesian Journal of Pharmacy	2338-9427
International Journal of Health Sciences	1658-3639
Palliative Care	1178-2242
Advances in Operations Research	1687-9155
International Journal of Otolaryngology	1687-921X
SAGE Open Nursing	2377-9608
Biomedical Informatics Insights	1178-2226
IET Cyber-Physical Systems	2398-3396
Digital Classics Online	2364-7957
Viking	0332-608X
Revista Cubana de Ciencias Forestales	2310-3469
Cooperativismo y Desarrollo	2310-340X
Indian Journal of Paediatric Dermatology	2319-7269
Jurnal Ilmu-Ilmu Peternakan	2443-0765
Medicina v Kuzbasse	1819-0901
Neurobiology of Pain	2452-073X
Journal of Coloproctology	2237-9363
Brazilian Journal of Anesthesiology	0104-0014
Ulul Albab: Jurnal Studi dan Penelitian Hukum Islam	2597-6168
Türk Nöroloji Dergisi	1301-062X
Studia Litterarum	2500-4247
Jurnal Sistem Informasi	2502-6631
Geology, Ecology, and Landscapes	2474-9508
Journal of Information Display	2158-1606
Forensic Sciences Research	2471-1411
Revista MENDIVE	1815-7696
Notas Históricas y Geográficas	0717-036X
International Journal of Advanced Medical and Health Research	2350-0298
Jurnal Keperawatan Indonesia	2354-9203
Podium	1996-2452
Revelli	1984-6576
Bulletin of the Mineral Research and Exploration	0026-4563
Uluslararas? Sosyal Bilimler Dergisi	2564-7695
Megaron	1309-6915
Gazi Üniversitesi Fen Bilimleri Dergisi	2147-9526
Annals of the University of Craiova for Journalism, Communication and Management	2501-3513
Argumentum: Journal of the Seminar of Discursive Logic, Argumentation Theory and Rhetoric	1583-2767
Rechtsgeschichte - Legal History	1619-4993
European Cells & Materials	1473-2262
International Journal of Transactional Analysis Research	2218-3159
European Journal of Counselling Psychology	2195-7614
Sports Medicine International Open	2367-1890
Journal of Philosophical Criticism	2533-0675
Mednarodno Inovativno Poslovanje	1855-6175
Sovremennye Informacionnye Tehnologii i IT-obrazovanie	2411-1473
Sinestesieonline	2280-6849
AIB Studi	2239-6152
Critical Hermeneutics	2533-1825
Advances in Group Theory and Applications	2499-1287
French Journal for Media Research	2264-4733
Épijournal de Géométrie Algébrique	2491-6765
New Trends in Social and Liberal Sciences	2469-4002
Terrains/Théories	2427-9188
Journal of Teaching and Learning	1911-8279
Pinter: Jurnal Pendidikan Teknik Informatika dan Komputer	2597-4475
Sv?t Literatury	0862-8440
Improvement: Jurnal Ilmiah Untuk Peningkatan Mutu Manajemen Pendidikan	2597-8543
Journal of Insurance and Financial Management	1911-8279
Canadian Journal of Education	1918-5979
Scientia	2546-194X
Tuberculosis and Respiratory Diseases	2005-6184
Adonghakoeji	2234-408X
Exercise Medicine	2508-9056
Theory and Applications of Graphs	2470-9859
Jurnal Kejuruteraan	2289-7526
JPAS (Journal of Public Administration Studies)	2541-6979
JFMR-Journal of Fisheries and Marine Research	2581-0294
Anglica. An International Journal of English Studies	0860-5734
AGRISE	2252-6757
JAM: Jurusan Aplikasi Manajemen	2302-6332
Jurnal Pembangunan dan Alam Lestari	2338-1671
CSEE Journal of Power and Energy Systems	2096-0042
Vestnik Dermatologii i Venerologii	0042-4609
LALCA	2527-0184
Desidades	2318-9282
Jurnal Meteorologi dan Geofisika	1411-3082
Eksergi: Jurnal Teknik Energi	0216-8685
Jurnal Studi Al-Quran	0216-1648
Journal of Holistic Nursing and Midwifery	2588-3712
Journal of Business Paradigms	2459-5004
Clinical Neurophysiology Practice	2467-981X
Vestnik Rossijskogo Universiteta Družby Narodov: Seriâ Politologiâ	2313-1438
Journal of Lean Systems	2448-0266
Tropical Plant Research	2349-1183
Mercados y Negocios	1665-7039
Estudios de Filosofía	0121-3628
Ratio Juris	1794-6638
IAFOR Journal of Psychology & the Behavioral Sciences	2187-0675
Eksis: Jurnal Riset Ekonomi dan Bisnis	1907-7513
