Title20;ISO_ABBREV;TITLE;ISSN
CHINESE J GEOPHYS-CH;Chinese J. Geophys.-Chinese Ed.;CHINESE JOURNAL OF GEOPHYSICS-CHINESE EDITION;0001-5733
CHINESE J ORG CHEM;Chin. J. Org. Chem.;CHINESE JOURNAL OF ORGANIC CHEMISTRY;0253-2786
CHINESE PHYS B;Chin. Phys. B;Chinese Physics B;1674-1056
J GLOBAL OPTIM;J. Glob. Optim.;JOURNAL OF GLOBAL OPTIMIZATION;0925-5001
J GLOBAL OPTIM;J. Glob. Optim.;JOURNAL OF GLOBAL OPTIMIZATION;0925-5001
J GREAT LAKES RES;J. Gt. Lakes Res.;JOURNAL OF GREAT LAKES RESEARCH;0380-1330
J GRID COMPUT;J. Comput.;Journal of Grid Computing;1570-7873
J GUID CONTROL DYNAM;J. Guid. Control Dyn.;JOURNAL OF GUIDANCE CONTROL AND DYNAMICS;0731-5090
J HARD TISSUE BIOL;J. Hard Tissue Biol.;Journal of Hard Tissue Biology;1341-7649
J HEAD TRAUMA REHAB;J. Head Trauma Rehabil.;JOURNAL OF HEAD TRAUMA REHABILITATION;0885-9701
J HEALTH ECON;J. Health Econ.;JOURNAL OF HEALTH ECONOMICS;0167-6296
AKTUEL UROL;Aktuelle Urol.;AKTUELLE UROLOGIE;0001-7868
ALCOHOL;Alcohol;ALCOHOL;0741-8329
ALGAE-SEOUL;Algae;ALGAE;1226-2617
ALGEBR COLLOQ;Algebr. Colloq.;ALGEBRA COLLOQUIUM;1005-3867
ALGEBR GEOM TOPOL;Algebr. Geom. Topol.;Algebraic and Geometric Topology;1472-2739
ALGEBR LOG+;Algebr. Log.;Algebra and Logic;0002-5232
ALGORITHM MOL BIOL;Algorithms. Mol. Biol.;Algorithms for Molecular Biology;1748-7188
ALLERGY ASTHMA CL IM;Allerg Asthma Clin. Immunol.;Allergy Asthma and Clinical Immunology;1710-1484
ALLG FORST JAGDZTG;Allg. Forst Jagdztg.;ALLGEMEINE FORST UND JAGDZEITUNG;0002-5852
ALZ DIS ASSOC DIS;Alzheimer Dis. Assoc. Dis.;ALZHEIMER DISEASE & ASSOCIATED DISORDERS;0893-0341
ALZHEIMERS RES THER;Alzheimers Res. Ther.;Alzheimers Research & Therapy;1758-9193
AM HEART J;Am. Heart J.;AMERICAN HEART JOURNAL;0002-8703
AM J BOT;Am. J. Bot.;AMERICAN JOURNAL OF BOTANY;0002-9122
AM J CARDIOL;Am. J. Cardiol.;AMERICAN JOURNAL OF CARDIOLOGY;0002-9149
AM J CRIT CARE;Am. J. Crit. Care;AMERICAN JOURNAL OF CRITICAL CARE;1062-3264
AM J EPIDEMIOL;Am. J. Epidemiol.;AMERICAN JOURNAL OF EPIDEMIOLOGY;0002-9262
AM J FOREN MED PATH;Am. J. Forensic Med. Pathol.;AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY;0195-7910
AM J GASTROENTEROL;Am. J. Gastroenterol.;AMERICAN JOURNAL OF GASTROENTEROLOGY;0002-9270
AM J GERIAT PSYCHIAT;Am. J. Geriatr. Psychiatr.;AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY;1064-7481
J OPTIMIZ THEORY APP;J. Optim. Theory Appl.;JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS;0022-3239
J ORAL IMPLANTOL;J. Oral Implant.;Journal of Oral Implantology;0160-6972
J ORAL MICROBIOL;J. Oral Microbiology;Journal of Oral Microbiology;2000-2297
J ORTHOP TRAUMA;J. Orthop. Trauma;JOURNAL OF ORTHOPAEDIC TRAUMA;0890-5339
J PAK MED ASSOC;J. Pak. Med. Assoc.;JOURNAL OF THE PAKISTAN MEDICAL ASSOCIATION;0030-9982
J PALAEOGEOG-ENGLISH;J. Palaegeogr.;Journal of Palaeogeography-English;2095-3836
J PARASITOL;J. Parasitol.;JOURNAL OF PARASITOLOGY;0022-3395
J PEDIAT INF DIS-GER;J. Pediatr. Infect. Dis.;Journal of Pediatric Infectious Diseases;1305-7707
J PEDIAT OPHTH STRAB;J. Pediatr. Ophthalmol. Strabismus.;JOURNAL OF PEDIATRIC OPHTHALMOLOGY & STRABISMUS;0191-3913
J PEDIAT-BRAZIL;J. Pediatr.;Jornal de Pediatria;0021-7557
J PEDIATR HEALTH CAR;J. Pediatr. Health Care;Journal of Pediatric Health Care;0891-5245
ASIAN J ORG CHEM;Asian J. Org. Chem.;Asian Journal of Organic Chemistry;2193-5807
ASSEMBLY AUTOM;Assem. Autom.;ASSEMBLY AUTOMATION;0144-5154
ASTRON ASTROPHYS;Astron. Astrophys.;ASTRONOMY & ASTROPHYSICS;1432-0746
ASTROPHYS J;Astrophys. J.;ASTROPHYSICAL JOURNAL;0004-637X
EURASIP J ADV SIG PR;EURASIP J. Adv. Signal Process.;EURASIP Journal on Advances in Signal Processing;1687-6180
EURASIP J AUDIO SPEE;EURASIP J. Audio Speech Music Process.;EURASIP Journal on Audio Speech and Music Processing;1687-4722
EURASIP J WIREL COMM;EURASIP J. Wirel. Commun. Netw.;EURASIP Journal on Wireless Communications and Networking;1687-1499
EUROPACE;Europace;EUROPACE;1099-5129
ISJ-INVERT SURVIV J;ISJ-Invertebr. Surviv. J.;ISJ-Invertebrate Survival Journal;1824-307X
ISOKINET EXERC SCI;Isokinetics Exerc. Sci.;ISOKINETICS AND EXERCISE SCIENCE;0959-3020
ISOKINET EXERC SCI;Isokinetics Exerc. Sci.;ISOKINETICS AND EXERCISE SCIENCE;0959-3020
ISR J ECOL EVOL;Isr. J. Ecol. Evol.;Israel Journal of Ecology & Evolution;1565-9801
ISR J MATH;Isr. J. Math.;ISRAEL JOURNAL OF MATHEMATICS;0021-2172
ISR J PLANT SCI;Isr. J. Plant Sci.;ISRAEL JOURNAL OF PLANT SCIENCES;0792-9978
ISSUES MENT HEALTH N;Issues Ment. Health Nurs.;Issues in Mental Health Nursing;0161-2840
ITAL J AGROMETEOROL;Ital. J. Agrometeorol.-Riv. Ital. Agrometeorol.;Italian Journal of Agrometeorology-Rivista Italiana di Agrometeorologia;2038-5625
ITAL J PEDIATR;Ital. J. Pediatr.;Italian Journal of Pediatrics;1720-8424
J AAPOS;J. AAPOS;JOURNAL OF AAPOS;1091-8531
J ACM;J. ACM;JOURNAL OF THE ACM;0004-5411
J ADDICT MED;J. Addict. Med.;Journal of Addiction Medicine;1932-0620
CIRC-ARRHYTHMIA ELEC;Circ.-Arrhythmia Electrophysiol.;Circulation-Arrhythmia and Electrophysiology;1941-3149
CIRC-CARDIOVASC GENE;Circ.-Cardiovasc. Genet.;Circulation-Cardiovascular Genetics;1942-325X
CIRC-CARDIOVASC INTE;Circ.-Cardiovasc. Interv.;Circulation-Cardiovascular Interventions;1941-7640
CIRCULATION;Circulation;CIRCULATION;0009-7322
CLADISTICS;Cladistics;CLADISTICS;0748-3007
GENET MOL BIOL;Genet. Mol. Biol.;GENETICS AND MOLECULAR BIOLOGY;1415-4757
GENET SEL EVOL;Genet. Sel. Evol.;GENETICS SELECTION EVOLUTION;0999-193X
GENETICS;Genetics;GENETICS;0016-6731
GENOME;Genome;GENOME;0831-2796
GEOBIOLOGY;Geobiology;Geobiology;1472-4677
GEOBIOS-LYON;Geobios;GEOBIOS;0016-6995
GEOCARTO INT;Geocarto Int.;Geocarto International;1010-6049
GEOCHEM J;Geochem. J.;GEOCHEMICAL JOURNAL;0016-7002
GEODIVERSITAS;Geodiversitas;GEODIVERSITAS;1280-9659
GEOFIS INT;Geofis. Int.;Geofisica Internacional;0016-7169
GEOGR ANN A;Geogr. Ann. Ser. A-Phys. Geogr.;GEOGRAFISKA ANNALER SERIES A-PHYSICAL GEOGRAPHY;0435-3676
GEOGR ANN A;Geogr. Ann. Ser. A-Phys. Geogr.;GEOGRAFISKA ANNALER SERIES A-PHYSICAL GEOGRAPHY;0435-3676
GEOGR FIS DIN QUAT;Geogr. Fis. Din. Quat.;Geografia Fisica e Dinamica Quaternaria;0391-9838
GEOHERITAGE;Geoheritage;Geoheritage;1867-2477
GEOL CARPATH;Geol. Carpath.;GEOLOGICA CARPATHICA;1335-0552
GEOLOGY;Geology;GEOLOGY;0091-7613
GEOMECH ENG;Geomech. Eng.;Geomechanics and Engineering;2005-307X
GEOPHYS ASTRO FLUID;Geophys. Astrophys. Fluid Dyn.;GEOPHYSICAL AND ASTROPHYSICAL FLUID DYNAMICS;0309-1929
GEOPHYS J INT;Geophys. J. Int.;GEOPHYSICAL JOURNAL INTERNATIONAL;0956-540X
GEOSCI INSTRUM METH;Geosci. Instrum. Methods Data Syst.;Geoscientific Instrumentation Methods and Data Systems;2193-0856
GEOSYNTH INT;Geosynth. Int.;GEOSYNTHETICS INTERNATIONAL;1072-6349
GEOTECH TEST J;Geotech. Test. J.;GEOTECHNICAL TESTING JOURNAL;0149-6115
AM J HEMATOL;Am. J. Hematol.;AMERICAN JOURNAL OF HEMATOLOGY;0361-8609
AM J IND MED;Am. J. Ind. Med.;AMERICAN JOURNAL OF INDUSTRIAL MEDICINE;0271-3586
AM J NEPHROL;Am. J. Nephrol.;AMERICAN JOURNAL OF NEPHROLOGY;0250-8095
AM J ORTHOD DENTOFAC;Am. J. Orthod. Dentofac. Orthop.;AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS;0889-5406
AM J PHARM EDUC;Am. J. Pharm. Educ.;AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION;0002-9459
AM J PHYS;Am. J. Phys.;AMERICAN JOURNAL OF PHYSICS;0002-9505
AM J PHYSIOL-LUNG C;Am. J. Physiol.-Lung Cell. Mol. Physiol.;AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY;1040-0605
COSMIC RES+;Cosmic Res.;COSMIC RESEARCH;0010-9525
CR CHIM;C. R. Chim.;COMPTES RENDUS CHIMIE;1631-0748
CR GEOSCI;C. R. Geosci.;COMPTES RENDUS GEOSCIENCE;1631-0713
CRANIO;Cranio-J. Craniomandib. Pract.;CRANIO-THE JOURNAL OF CRANIOMANDIBULAR PRACTICE;0886-9634
CRETACEOUS RES;Cretac. Res.;CRETACEOUS RESEARCH;0195-6671
CRIT CARE NURS CLIN;Crit. Care Nurs. Clin. N. Am.;Critical Care Nursing Clinics of North America;0899-5885
CRIT CARE NURSE;Crit. Care Nurse;Critical Care Nurse;0279-5442
CRIT REV EUKAR GENE;Crit. Rev. Eukaryot. Gene Expr.;CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION;1045-4403
CRIT REV FOOD SCI;Crit. Rev. Food Sci. Nutr.;CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION;1040-8398
CRIT REV FOOD SCI;Crit. Rev. Food Sci. Nutr.;CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION;1040-8398
CRIT REV MICROBIOL;Crit. Rev. Microbiol.;CRITICAL REVIEWS IN MICROBIOLOGY;1040-841X
CRIT REV ONCOL HEMAT;Crit. Rev. Oncol./Hematol.;CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY;1040-8428
CRIT REV SOLID STATE;Crit. Rev. Solid State Mat. Sci.;CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES;1040-8436
CROAT MED J;Croat. Med. J.;CROATIAN MEDICAL JOURNAL;0353-9504
CROP PASTURE SCI;Crop Pasture Sci.;Crop & Pasture Science;1836-0947
CRYST GROWTH DES;Cryst. Growth Des.;CRYSTAL GROWTH & DESIGN;1528-7483
CRYSTALS;Crystals;Crystals;2073-4352
ATMOS MEAS TECH;Atmos. Meas. Tech.;Atmospheric Measurement Techniques;1867-1381
ATMOSFERA;Atmosfera;ATMOSFERA;0187-6236
ATOM DATA NUCL DATA;Atom. Data Nucl. Data Tables;ATOMIC DATA AND NUCLEAR DATA TABLES;0092-640X
ATOMIZATION SPRAY;Atom. Sprays;ATOMIZATION AND SPRAYS;1044-5110
ATW-INT J NUCL POWER;ATW-Int. J. Nucl. Power;ATW-INTERNATIONAL JOURNAL FOR NUCLEAR POWER;1431-5254
AUDIOL NEURO-OTOL;Audiol. Neuro-Otol.;AUDIOLOGY AND NEURO-OTOLOGY;1420-3030
AUGMENT ALTERN COMM;Augment. Altern. Commun.;Augmentative and Alternative Communication;0743-4618
AUST J BOT;Aust. J. Bot.;AUSTRALIAN JOURNAL OF BOTANY;0067-1924
AUST J GRAPE WINE R;Aust. J. Grape Wine Res.;AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH;1322-7130
AUST NZ J STAT;Aust. N. Z. J. Stat.;AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS;1369-1473
AUSTRALAS J AGEING;Australas. Ageing;AUSTRALASIAN JOURNAL ON AGEING;1440-6381
ECOTOX ENVIRON SAFE;Ecotox. Environ. Safe.;ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY;0147-6513
ECOTOXICOLOGY;Ecotoxicology;ECOTOXICOLOGY;0963-9292
J ADHESION;J. Adhes.;JOURNAL OF ADHESION;0021-8464
J ADV CERAM;J. Adv. Ceram.;Journal of Advanced Ceramics;2226-4108
J ADV CONCR TECHNOL;J. Adv. Concr. Technol.;Journal of Advanced Concrete Technology;1346-8014
J AEROSOL SCI;J. Aerosol. Sci.;JOURNAL OF AEROSOL SCIENCE;0021-8502
J AGING PHYS ACTIV;J. Aging Phys. Act.;JOURNAL OF AGING AND PHYSICAL ACTIVITY;1063-8652
J AGR ENVIRON ETHIC;J. Agric. Environ. Ethics;JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS;1187-7863
J AGR FOOD CHEM;J. Agric. Food Chem.;JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY;0021-8561
J AGR RESOUR ECON;J. Agric. Resour. Econ.;JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS;1068-5502
J ALLOY COMPD;J. Alloy. Compd.;JOURNAL OF ALLOYS AND COMPOUNDS;0925-8388
J AM ACAD AUDIOL;J. Am. Acad. Audiol.;Journal of the American Academy of Audiology;1050-0545
J AM ACAD DERMATOL;J. Am. Acad. Dermatol.;JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY;0190-9622
KOREAN J INTERN MED;Korean J. Intern. Med.;KOREAN JOURNAL OF INTERNAL MEDICINE;1226-3303
KOVOVE MATER;Kov. Mater.-Met. Mater.;KOVOVE MATERIALY-METALLIC MATERIALS;0023-432X
KUWAIT J SCI;Kuwait J. Sci.;Kuwait Journal of Science;2307-4108
KUWAIT MED J;Kuwait Med. J.;Kuwait Medical Journal;0023-5776
LAB INVEST;Lab. Invest.;LABORATORY INVESTIGATION;0023-6837
LANCET DIABETES ENDO;Lancet Diabetes Endocrinol.;Lancet Diabetes & Endocrinology;2213-8587
LANDSCAPE ECOL;Landsc. Ecol.;LANDSCAPE ECOLOGY;0921-2973
GLAS MAT;Glas. Mat.;Glasnik Matematicki;0017-095X
GLOBAL BIOGEOCHEM CY;Glob. Biogeochem. Cycle;GLOBAL BIOGEOCHEMICAL CYCLES;0886-6236
GLOBAL CHANGE BIOL;Glob. Change Biol.;GLOBAL CHANGE BIOLOGY;1354-1013
GLOBAL CHANGE BIOL;Glob. Change Biol.;GLOBAL CHANGE BIOLOGY;1354-1013
GLOBAL ECOL BIOGEOGR;Glob. Ecol. Biogeogr.;GLOBAL ECOLOGY AND BIOGEOGRAPHY;1466-822X
GLOBAL HEALTH ACTION;Glob. Health Action;Global Health Action;1654-9880
GM CROPS FOOD;GM Crop. Food;GM Crops & Food-Biotechnology in Agriculture and the Food Chain;2164-5698
J COMB OPTIM;J. Comb. Optim.;JOURNAL OF COMBINATORIAL OPTIMIZATION;1382-6905
J COMMUN DISORD;J. Commun. Disord.;JOURNAL OF COMMUNICATION DISORDERS;0021-9924
J COMMUN NETW-S KOR;J. Commun. Netw.;JOURNAL OF COMMUNICATIONS AND NETWORKS;1229-2370
J COMMUN NETW-S KOR;J. Commun. Netw.;JOURNAL OF COMMUNICATIONS AND NETWORKS;1229-2370
J COMMUN TECHNOL EL+;J. Commun. Technol. Electron.;JOURNAL OF COMMUNICATIONS TECHNOLOGY AND ELECTRONICS;1064-2269
J COMP NEUROL;J. Comp. Neurol.;JOURNAL OF COMPARATIVE NEUROLOGY;0021-9967
J COMP PHYSIOL A;J. Comp. Physiol. A -Neuroethol. Sens. Neural Behav. Physiol.;JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY;0340-7594
J COMP PHYSIOL B;J. Comp. Physiol. B-Biochem. Syst. Environ. Physiol.;JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMIC AND ENVIRONMENTAL PHYSIOLOGY;0174-1578
J COMP PSYCHOL;J. Comp. Psychol.;JOURNAL OF COMPARATIVE PSYCHOLOGY;0735-7036
J COMPLEXITY;J. Complex.;JOURNAL OF COMPLEXITY;0885-064X
J COMPUT BIOL;J. Comput. Biol.;JOURNAL OF COMPUTATIONAL BIOLOGY;1066-5277
J COMPUT INFORM SYST;J. Comput. Inf. Syst.;JOURNAL OF COMPUTER INFORMATION SYSTEMS;0887-4417
J COMPUT NONLIN DYN;J. Comput. Nonlinear Dyn.;Journal of Computational and Nonlinear Dynamics;1555-1423
CUAJ-CAN UROL ASSOC;CUAJ-Can. Urol. Assoc. J.;CUAJ-Canadian Urological Association Journal;1911-6470
CURR ALLERGY ASTHM R;Curr. Allergy Asthma Rep.;CURRENT ALLERGY AND ASTHMA REPORTS;1529-7322
CURR COMPUT-AID DRUG;Curr. Comput.-Aided Drug Des.;Current Computer-Aided Drug Design;1573-4099
CURR DRUG METAB;Curr. Drug Metab.;CURRENT DRUG METABOLISM;1389-2002
CURR HYPERTENS REP;Curr. Hypertens. Rep.;CURRENT HYPERTENSION REPORTS;1522-6417
CURR MED CHEM;Curr. Med. Chem.;CURRENT MEDICINAL CHEMISTRY;0929-8673
IEEE T COGN DEV SYST;IEEE Trans. Cogn. Dev. Syst.;IEEE Transactions on Cognitive and Developmental Systems;2379-8920
IEEE T COMP PACK MAN;IEEE Trans. Compon. Pack. Manuf. Technol.;IEEE Transactions on Components Packaging and Manufacturing Technology;2156-3950
IEEE T COMPUT AID D;IEEE Trans. Comput-Aided Des. Integr. Circuits Syst.;IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS;0278-0070
IEEE T CYBERNETICS;IEEE T. Cybern.;IEEE Transactions on Cybernetics;2168-2267
IEEE T ELECTROMAGN C;IEEE Trans. Electromagn. Compat.;IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY;0018-9375
IEEE T ENERGY CONVER;IEEE Trans. Energy Convers.;IEEE TRANSACTIONS ON ENERGY CONVERSION;0885-8969
IEEE T ENERGY CONVER;IEEE Trans. Energy Convers.;IEEE TRANSACTIONS ON ENERGY CONVERSION;0885-8969
IEEE T GEOSCI REMOTE;IEEE Trans. Geosci. Remote Sensing;IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING;0196-2892
IEEE T HUM-MACH SYST;IEEE T. Hum.-Mach. Syst.;IEEE Transactions on Human-Machine Systems;2168-2291
IEEE T IND APPL;IEEE Trans. Ind. Appl.;IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS;0093-9994
IEEE T IND ELECTRON;IEEE Trans. Ind. Electron.;IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS;0278-0046
IEEE T IND INFORM;IEEE Trans. Ind. Inform.;IEEE Transactions on Industrial Informatics;1551-3203
IEEE T MAGN;IEEE Trans. Magn.;IEEE TRANSACTIONS ON MAGNETICS;0018-9464
IEEE T MOBILE COMPUT;IEEE. Trans. Mob. Comput.;IEEE TRANSACTIONS ON MOBILE COMPUTING;1536-1233
IEEE T MULTIMEDIA;IEEE Trans. Multimedia;IEEE TRANSACTIONS ON MULTIMEDIA;1520-9210
IEEE T NANOBIOSCI;IEEE Trans. Nanobiosci.;IEEE TRANSACTIONS ON NANOBIOSCIENCE;1536-1241
IEEE T NEUR NET LEAR;IEEE Trans. Neural Netw. Learn. Syst.;IEEE Transactions on Neural Networks and Learning Systems;2162-237X
IEEE T NEUR NET LEAR;IEEE Trans. Neural Netw. Learn. Syst.;IEEE Transactions on Neural Networks and Learning Systems;2162-237X
IEEE T NUCL SCI;IEEE Trans. Nucl. Sci.;IEEE TRANSACTIONS ON NUCLEAR SCIENCE;0018-9499
ELECTR ENG JPN;Electr. Eng. Jpn.;ELECTRICAL ENGINEERING IN JAPAN;0424-7760
ELECTROCATALYSIS-US;Electrocatalysis;Electrocatalysis;1868-2529
ELECTRON T NUMER ANA;Electron. Trans. Numer. Anal.;ELECTRONIC TRANSACTIONS ON NUMERICAL ANALYSIS;1068-9613
ELEMENTS;Elements;Elements;1811-5209
EMBO REP;EMBO Rep.;EMBO REPORTS;1469-221X
EMERG INFECT DIS;Emerg. Infect. Dis;EMERGING INFECTIOUS DISEASES;1080-6040
EMERG MICROBES INFEC;Emerg. Microbes Infect.;Emerging Microbes & Infections;2222-1751
ENDOCR METAB IMMUNE;Endocr. Metab. Immune Disord.-Drug Targets;Endocrine Metabolic & Immune Disorders-Drug Targets;1871-5303
ENDOCR-RELAT CANCER;Endocr.-Relat. Cancer;ENDOCRINE-RELATED CANCER;1351-0088
LARGE ANIM REV;Large Anim. Rev.;Large Animal Review;1124-4593
LARYNGOSCOPE;Laryngoscope;LARYNGOSCOPE;0023-852X
LAW PROBAB RISK;Law Probab. Risk;LAW PROBABILITY & RISK;1470-8396
BOT MAR;Bot. Marina;BOTANICA MARINA;0006-8055
BRAGANTIA;Bragantia;BRAGANTIA;1678-4499
BRAIN DEV-JPN;Brain Dev.;BRAIN & DEVELOPMENT;0387-7604
BRAIN IMPAIR;Brain Impair.;Brain Impairment;1443-9646
BRAIN LANG;Brain Lang.;BRAIN AND LANGUAGE;0093-934X
BRAIN STRUCT FUNCT;Brain Struct. Funct.;Brain Structure & Function;1863-2653
J CONTEMP MATH ANAL+;J. Contemp. Math. Anal.-Armen. Aca.;Journal of Contemporary Mathematical Analysis-Armenian Academy of Sciences;1068-3623
J CRIT CARE;J. Crit. Care;JOURNAL OF CRITICAL CARE;0883-9441
J CRYPTOL;J. Cryptology;JOURNAL OF CRYPTOLOGY;0933-2790
J CRYST GROWTH;J. Cryst. Growth;JOURNAL OF CRYSTAL GROWTH;0022-0248
J CULT HERIT;J. Cult. Herit.;JOURNAL OF CULTURAL HERITAGE;1296-2074
J CUTAN PATHOL;J. Cutan. Pathol.;JOURNAL OF CUTANEOUS PATHOLOGY;0303-6987
ACM T AUTON ADAP SYS;ACM Trans. Auton. Adapt. Syst.;ACM Transactions on Autonomous and Adaptive Systems;1556-4665
ACM T EMBED COMPUT S;ACM Trans. Embed. Comput. Syst.;ACM Transactions on Embedded Computing Systems;1539-9087
ACM T KNOWL DISCOV D;ACM Trans. Knowl. Discov. Data;ACM Transactions on Knowledge Discovery from Data;1556-4681
ACM T MATH SOFTWARE;ACM Trans. Math. Softw.;ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE;0098-3500
ACM T SENSOR NETWORK;ACM Trans. Sens. Netw.;ACM Transactions on Sensor Networks;1550-4859
ACS COMB SCI;ACS Comb. Sci.;ACS Combinatorial Science;2156-8952
ACS ENERGY LETT;ACS Energy Lett.;ACS Energy Letters;2380-8195
ACS ENERGY LETT;ACS Energy Lett.;ACS Energy Letters;2380-8195
ACS PHOTONICS;ACS Photonics;ACS Photonics;2330-4022
ACTA AMAZON;ACTA AMAZON.;ACTA AMAZONICA;0044-5967
ACTA ASTRONAUT;Acta Astronaut.;ACTA ASTRONAUTICA;0094-5765
ACTA BIOENG BIOMECH;Acta Bioeng. Biomech.;Acta of Bioengineering and Biomechanics;1509-409X
ACTA CARSOLOGICA;ACTA CARSOLOGICA;ACTA CARSOLOGICA;0583-6050
IEEE T PARALL DISTR;IEEE Trans. Parallel Distrib. Syst.;IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS;1045-9219
IEEE T POWER ELECTR;IEEE Trans. Power Electron.;IEEE TRANSACTIONS ON POWER ELECTRONICS;0885-8993
IEEE T ROBOT;IEEE Trans. Robot.;IEEE Transactions on Robotics;1552-3098
IEEE T SOFTWARE ENG;IEEE Trans. Softw. Eng.;IEEE TRANSACTIONS ON SOFTWARE ENGINEERING;0098-5589
IEEE T SYST MAN CY-S;IEEE Trans. Syst. Man Cybern. -Syst.;IEEE Transactions on Systems Man Cybernetics-Systems;2168-2216
J HEART LUNG TRANSPL;J. Heart Lung Transplant.;JOURNAL OF HEART AND LUNG TRANSPLANTATION;1053-2498
J HEART LUNG TRANSPL;J. Heart Lung Transplant.;JOURNAL OF HEART AND LUNG TRANSPLANTATION;1053-2498
J HEURISTICS;J. Heuristics;JOURNAL OF HEURISTICS;1381-1231
J HOSP PALLIAT NURS;J. Hosp. Palliat. Nurs.;Journal of Hospice & Palliative Nursing;1522-2179
J HUM EVOL;J. Hum. Evol.;JOURNAL OF HUMAN EVOLUTION;0047-2484
J HUM LACT;J. Hum. Lact.;JOURNAL OF HUMAN LACTATION;0890-3344
J HUM LACT;J. Hum. Lact.;JOURNAL OF HUMAN LACTATION;0890-3344
J HYDRAUL RES;J. Hydraul. Res.;JOURNAL OF HYDRAULIC RESEARCH;0022-1686
J HYDROINFORM;J. Hydroinform.;JOURNAL OF HYDROINFORMATICS;1464-7141
J HYDROINFORM;J. Hydroinform.;JOURNAL OF HYDROINFORMATICS;1464-7141
J HYDROL HYDROMECH;J. Hydrol. Hydromech.;Journal of Hydrology and Hydromechanics;0042-790X
J HYDROMETEOROL;J. Hydrometeorol.;JOURNAL OF HYDROMETEOROLOGY;1525-755X
J HYPERBOL DIFFER EQ;J. Hyberbolic Differ. Equ.;Journal of Hyperbolic Differential Equations;0219-8916
J I TELECOMMUN PROF;J. Inst. Telecommun. Prof.;Journal of the Institute of Telecommunications Professionals;1755-9278
J IMMUNOL METHODS;J. Immunol. Methods;JOURNAL OF IMMUNOLOGICAL METHODS;0022-1759
J IMMUNOL RES;J Immunol. Res.;Journal of Immunology Research;2314-8861
J IMMUNOTHER;J. Immunother.;JOURNAL OF IMMUNOTHERAPY;1524-9557
INT J METALCAST;Int. J. Met.;International Journal of Metalcasting;1939-5981
INT J MICRO AIR VEH;Int. J. Micro Air Veh.;International Journal of Micro Air Vehicles;1756-8293
INT J MIN MET MATER;Int. J. Miner. Metall. Mater.;International Journal of Minerals Metallurgy and Materials;1674-4799
INT J MINER PROCESS;Int. J. Miner. Process.;INTERNATIONAL JOURNAL OF MINERAL PROCESSING;0301-7516
INT J MOD PHYS A;Int. J. Mod. Phys. A;INTERNATIONAL JOURNAL OF MODERN PHYSICS A;0217-751X
INT J MORPHOL;Int. J. Morphol.;INTERNATIONAL JOURNAL OF MORPHOLOGY;0717-9502
INT J NONLIN MECH;Int. J. Non-Linear Mech.;INTERNATIONAL JOURNAL OF NON-LINEAR MECHANICS;0020-7462
INT J NUMBER THEORY;Int. J. Number Theory;International Journal of Number Theory;1793-0421
INT J NUMER ANAL MET;Int. J. Numer. Anal. Methods Geomech.;INTERNATIONAL JOURNAL FOR NUMERICAL AND ANALYTICAL METHODS IN GEOMECHANICS;0363-9061
INT J NUMER METH FL;Int. J. Numer. Methods Fluids;INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS;0271-2091
INT J NUMER METH FL;Int. J. Numer. Methods Fluids;INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS;0271-2091
INT J OBESITY;Int. J. Obes.;INTERNATIONAL JOURNAL OF OBESITY;0307-0565
